year_quarter;price
2018Q3;0.335
2018Q4;0.285
2019Q1;0.25
2019Q2;0.295
2019Q3;0.26
2019Q4;0.265
2020Q1;0.225
2020Q2;0.335
2020Q3;0.25
2020Q4;0.265
2021Q1;0.26
2021Q2;0.185
2021Q3;0.15
2021Q4;0.16
