year_quarter;price
2018Q1;0.062
2018Q2;0.042
2018Q3;0.045
2018Q4;0.048
2019Q1;0.047
2019Q2;0.043
2019Q3;0.12
2019Q4;0.152
2020Q1;0.227
2020Q2;0.278
2020Q3;0.717
2020Q4;0.655
2021Q1;0.61
2021Q2;0.045
2021Q3;0.05
2021Q4;0.035
