year_quarter;price
2018Q4;0.04
2019Q1;0.04
2019Q2;0.04
2019Q3;0.05
2019Q4;0.045
2020Q1;0.02
2020Q2;0.03
2020Q3;0.045
2020Q4;0.04
2021Q1;0.045
2021Q2;0.035
2021Q3;0.025
2021Q4;0.03
