year_quarter;price
2018Q4;0.04
2019Q1;0.04
2019Q2;0.03
2019Q3;0.03
2019Q4;0.025
2020Q1;0.015
2020Q2;0.16
2020Q3;0.095
2020Q4;0.085
2021Q1;0.065
2021Q2;0.045
2021Q3;0.35
2021Q4;0.025
