year_quarter;price
2018Q4;9.297
2019Q1;9.231
2019Q2;8.933
2019Q3;8.721
2019Q4;10.996
2020Q1;8.6
2020Q2;10.874
2020Q3;17.665
2020Q4;23.666
2021Q1;37.933
2021Q2;38.048
2021Q3;45.396
2021Q4;48.426
2022Q1;38.602
