year_quarter;price
2018Q4;0.121
2019Q1;0.13
2019Q2;0.102
2019Q3;0.081
2019Q4;0.082
2020Q1;0.085
2020Q2;0.104
2020Q3;0.12
2020Q4;0.132
2021Q1;0.345
2021Q2;0.515
2021Q3;2.915
2021Q4;2.846
