year_quarter;price
2018Q4;0.465
2019Q1;0.54
2019Q2;0.505
2019Q3;0.455
2019Q4;1
2020Q1;0.34
2020Q2;0.485
2020Q3;0.73
2020Q4;0.88
2021Q1;0.7
2021Q2;0.585
2021Q3;0.64
2021Q4;0.605
