year_quarter;price
2019Q2;0.119
2019Q3;0.11
2019Q4;0.119
2020Q1;0.072
2020Q2;0.1
2020Q3;0.129
2020Q4;0.253
2021Q1;0.305
2021Q2;0.442
2021Q3;0.355
2021Q4;0.292
