year_quarter;price
2018Q4;0.615
2019Q1;0.652
2019Q2;0.603
2019Q3;0.545
2019Q4;0.603
2020Q1;0.227
2020Q2;0.297
2020Q3;0.417
2020Q4;0.516
2021Q1;0.496
2021Q2;0.494
