year_quarter;price
2018Q4;0.055
2019Q1;0.065
2019Q2;0.08
2019Q3;0.065
2019Q4;0.075
2020Q1;0.04
2020Q2;0.065
2020Q3;0.105
2020Q4;0.13
2021Q1;0.14
2021Q2;0.115
2021Q3;0.12
2021Q4;0.09
