year_quarter;price
2018Q4;0.1
2019Q1;0.115
2019Q2;0.17
2019Q3;0.195
2019Q4;0.21
2020Q1;0.115
2020Q2;0.14
2020Q3;0.16
2020Q4;0.145
2021Q1;0.215
2021Q2;0.63
2021Q3;0.675
2021Q4;0.495
