year_quarter;price
2019Q1;1.384
2019Q2;1.578
2019Q3;1.688
2019Q4;1.7
2020Q1;2.019
2020Q2;3.201
2020Q3;5.712
2020Q4;4.054
2021Q1;2.893
2021Q2;2.795
2021Q3;2.067
2021Q4;1.704
