year_quarter;price
2018Q4;0.24
2019Q1;0.26
2019Q2;0.25
2019Q3;0.215
2019Q4;0.22
2020Q1;0.075
2020Q2;0.09
2020Q3;0.15
2020Q4;0.17
2021Q1;0.215
2021Q2;0.195
2021Q3;0.205
2021Q4;0.19
