year_quarter;price
2018Q4;3.5
2019Q1;4.5
2019Q2;4.25
2019Q3;2.25
2019Q4;2.5
2020Q1;0.045
2020Q2;0.115
2020Q3;0.115
2020Q4;0.115
2021Q1;0.12
2021Q2;0.105
2021Q3;0.1
2021Q4;0.105
