year_quarter;price
2018Q4;7.396
2019Q1;7.239
2019Q2;7.238
2019Q3;7.18
2019Q4;7.189
2020Q1;6.129
2020Q2;6.676
2020Q3;6.228
2020Q4;7.528
2021Q1;7.35
2021Q2;7.641
2021Q3;7.829
2021Q4;7.974
