year_quarter;price
2018Q2;0.135
2018Q3;0.135
2018Q4;0.1
2019Q1;0.1
2019Q2;0.08
2019Q3;0.075
2019Q4;0.1
2020Q1;0.11
2020Q2;0.495
2020Q3;0.68
2020Q4;0.665
2021Q1;0.525
2021Q2;0.34
2021Q3;0.26
2021Q4;0.21
