year_quarter;price
2018Q4;0.531
2019Q1;0.66
2019Q2;0.675
2019Q3;0.58
2019Q4;0.57
2020Q1;0.255
2020Q2;0.32
2020Q3;0.32
2020Q4;0.41
2021Q1;0.46
2021Q2;0.415
2021Q3;0.46
2021Q4;0.425
