year_quarter;price
2018Q3;0.462
2018Q4;0.421
2019Q1;0.462
2019Q2;0.478
2019Q3;0.494
2019Q4;0.586
2020Q1;0.454
2020Q2;0.629
2020Q3;0.632
2020Q4;0.784
2021Q1;1.565
2021Q2;2.492
2021Q3;4.894
2021Q4;5.751
