year_quarter;price
2019Q1;0.05
2019Q2;0.045
2019Q3;0.045
2019Q4;0.055
2020Q1;0.025
2020Q2;0.06
2020Q3;0.105
2020Q4;0.085
2021Q1;0.07
2021Q2;0.035
2021Q3;0.02
2021Q4;0.01
