year_quarter;price
2017Q1;0.27
2017Q2;0.3
2017Q3;0.255
2017Q4;0.235
2018Q1;0.25
2018Q2;0.13
2018Q3;0.3
2018Q4;0.29
2019Q1;0.36
2019Q2;0.435
2019Q3;0.305
2019Q4;0.305
2020Q1;0.14
2020Q2;0.31
2020Q3;0.26
2020Q4;0.265
2021Q1;0.375
2021Q2;0.26
2021Q3;0.26
2021Q4;0.145
