year_quarter;price
2018Q2;1.144
2018Q3;1.442
2018Q4;1.535
2019Q1;1.264
2019Q2;1.202
2019Q3;0.917
2019Q4;1.06
2020Q1;0.776
2020Q2;1.004
2020Q3;1.717
2020Q4;2.972
2021Q1;3.883
2021Q2;3.627
2021Q3;4.342
2021Q4;4.035
