year_quarter;price
2018Q4;2.544
2019Q1;3.045
2019Q2;2.898
2019Q3;2.432
2019Q4;2.252
2020Q1;1.055
2020Q2;1.463
2020Q3;1.163
2020Q4;1.832
2021Q1;2.23
2021Q2;1.09
2021Q3;1.168
2021Q4;1.227
