year_quarter;price
2018Q3;0.135
2018Q4;0.11
2019Q1;0.115
2019Q2;0.105
2019Q3;0.1
2019Q4;0.13
2020Q1;0.21
2020Q2;0.49
2020Q3;1.09
2020Q4;0.885
2021Q1;0.395
2021Q2;0.28
2021Q3;0.21
2021Q4;0.06
